Gender,Age,Talkative,Start Conversations,Interested in People,Make People Feel at Ease,concern for others,Full of Ideas,Always Prepared,Get Irritated Easily,Always Ready to Sleep,Frequent Mood Swings,Seek Adventure,Like to Be in Charge,Make a Mess of Things,Leave Belongings Around,Forget to Put Things Back,Follow a Schedule,Overcome Failure,Leave Today's Work for Next Day,Difficulty Understanding Abstract Ideas,Regret After Making Decisions,Prefer Daydreaming to Reality,Like to Express Immediate Mental/Emotional Situations,Prefer to Build New Relationships Rather Than Compromise,Think No Rules in Society Would Be Better,Don't Think This Test Can Determine Personality,Personality Type
Male,23,0,3,1,7,7,0,2,3,7,8,1,0,2,1,8,3,3,3,5,5,3,8,7,3,6,Conscientinousness
Male,22,0,6,2,5,3,7,4,3,6,1,2,0,4,1,8,5,3,7,7,1,6,2,6,3,6,Agreeableness
Male,27,1,2,0,7,7,3,0,0,6,2,4,1,1,1,4,0,4,7,5,7,3,5,6,0,1,Conscientinousness
Female,29,8,7,3,0,4,0,1,2,8,7,1,4,4,2,4,0,8,0,0,6,7,6,6,6,6,Conscientinousness
Male,20,8,5,3,7,6,8,6,7,3,6,7,3,3,7,7,1,7,5,1,4,2,6,7,8,0,Openness
Male,20,4,2,2,1,1,0,8,1,3,4,3,5,0,0,1,5,7,6,6,5,6,3,4,5,0,Agreeableness
Female,29,2,7,2,1,2,8,5,0,5,4,2,3,1,0,0,7,6,4,7,2,7,5,5,4,0,Extraversion
Male,28,3,6,6,7,5,4,4,6,8,0,5,4,2,3,1,7,0,3,3,5,6,6,8,6,2,Extraversion
Female,25,0,5,5,1,4,7,1,2,7,1,5,2,7,2,1,0,4,4,2,3,5,6,7,3,4,Conscientinousness
Male,21,0,2,2,5,0,4,6,0,7,2,5,3,6,1,3,2,4,6,5,7,3,3,8,0,6,Agreeableness
Male,20,8,1,6,7,2,7,4,8,4,6,7,6,3,2,7,3,5,7,1,8,0,2,5,7,0,Openness
Female,27,6,5,8,7,4,8,4,8,1,8,5,3,0,7,4,2,8,7,7,1,0,0,7,2,4,Openness
Female,17,0,1,5,5,6,8,1,2,1,5,4,6,4,6,7,5,3,6,4,4,8,4,0,2,8,Agreeableness
Female,29,4,6,8,1,8,1,3,3,7,7,0,5,3,1,2,2,4,3,6,2,8,5,6,8,5,Conscientinousness
Female,19,3,8,6,4,5,4,8,3,6,4,7,7,1,2,5,3,7,2,5,1,5,1,7,5,6,Openness
Male,29,1,0,6,5,8,1,8,1,1,5,0,8,7,5,4,1,8,3,0,1,7,1,7,6,0,Conscientinousness
Female,21,7,1,7,3,1,2,3,7,6,0,7,5,8,5,0,0,3,7,1,0,4,3,5,2,3,Neuroticism
Male,29,5,3,1,0,7,2,2,3,7,3,8,6,8,0,7,2,0,8,1,3,5,3,6,7,2,Conscientinousness
Male,25,8,3,6,2,7,0,0,6,8,2,4,1,0,2,8,1,0,1,3,3,8,5,2,8,7,Conscientinousness
Female,28,7,8,8,8,7,5,4,0,0,4,0,2,7,5,3,8,6,2,0,3,4,0,5,8,0,Conscientinousness
Male,19,7,0,8,3,6,0,2,4,0,4,4,0,3,1,2,2,4,1,3,1,8,4,6,1,8,Agreeableness
Female,24,2,8,0,6,5,3,1,0,3,8,6,4,3,6,1,4,5,4,3,8,5,1,7,4,7,Conscientinousness
Female,28,5,7,6,1,7,3,1,1,4,8,0,4,0,4,3,7,7,4,6,3,1,7,7,2,7,Conscientinousness
Female,29,5,0,3,7,0,4,2,8,2,2,7,8,5,1,1,0,6,0,6,5,8,6,8,2,5,Extraversion
Female,20,8,8,2,7,4,0,7,5,2,6,5,2,5,3,2,4,1,1,1,1,0,2,6,1,6,Neuroticism
Male,24,4,4,6,0,6,1,2,4,8,2,4,0,5,1,3,0,7,4,3,3,8,3,0,2,1,Neuroticism
Male,27,0,2,3,3,5,8,0,6,5,7,3,1,7,6,7,8,7,5,4,8,5,5,6,6,7,Conscientinousness
Male,26,6,8,1,1,2,6,3,8,2,1,8,6,0,8,7,7,3,3,3,4,6,7,7,6,7,Extraversion
Male,28,3,0,5,6,1,6,1,2,4,8,7,2,6,5,8,3,5,2,4,2,4,8,8,6,1,Conscientinousness
Female,24,3,0,7,7,0,8,6,7,2,5,4,4,3,0,0,5,0,6,6,1,6,5,4,4,5,Agreeableness
Male,17,0,0,1,5,3,0,4,1,7,1,7,6,7,0,3,8,5,1,3,0,2,5,8,8,7,Neuroticism
Female,27,2,7,4,4,4,4,7,7,2,0,5,3,1,8,0,7,2,8,4,5,4,1,4,8,2,Extraversion
Male,27,0,2,4,4,8,2,0,4,8,8,6,3,8,5,6,8,5,6,1,6,1,6,7,0,0,Conscientinousness
Male,28,7,2,0,8,3,0,8,0,4,7,7,5,8,8,0,2,1,4,0,3,6,4,2,3,5,Conscientinousness
Male,20,3,7,2,3,0,3,1,2,4,2,1,7,8,1,1,0,8,8,1,4,2,5,6,7,5,Neuroticism
Male,25,5,0,5,8,3,3,7,5,4,1,5,7,6,7,6,1,6,3,7,8,2,6,6,3,2,Extraversion
Male,29,4,4,7,7,6,5,4,8,2,2,0,7,4,6,3,6,2,4,2,8,5,1,2,3,0,Extraversion
Female,23,2,6,5,0,1,8,0,6,7,6,7,8,6,5,1,5,2,6,1,1,7,2,1,4,1,Neuroticism
Male,22,2,0,4,7,6,5,8,8,0,0,2,7,0,5,2,1,3,3,1,0,7,5,0,6,6,Openness
Female,19,0,1,1,5,4,5,8,4,8,7,8,7,0,3,6,3,6,7,0,0,1,6,6,4,3,Openness
Male,27,6,3,4,4,4,4,3,2,1,7,4,8,7,1,4,7,5,1,0,0,1,1,6,1,5,Conscientinousness
Male,22,1,8,3,8,6,8,6,3,6,3,0,7,8,1,1,5,7,8,2,7,8,0,3,7,1,Extraversion
Female,29,8,3,8,3,4,4,5,3,3,6,5,6,8,7,1,0,5,3,0,0,8,5,8,1,7,Conscientinousness
Female,18,3,0,8,4,7,5,7,6,8,4,2,6,0,8,0,0,8,7,6,8,2,7,6,0,6,Agreeableness
Male,17,5,6,2,3,6,6,4,7,4,0,1,1,5,1,2,0,1,8,8,5,1,5,4,8,1,Agreeableness
Female,17,6,3,5,4,3,1,6,5,5,1,4,2,4,3,3,3,6,2,6,6,4,4,2,4,6,Agreeableness
Female,23,4,6,4,4,4,6,7,5,6,5,8,1,4,1,3,0,3,8,5,7,6,0,7,0,2,Openness
Male,27,6,3,4,3,3,4,1,4,6,0,8,0,7,3,0,2,2,8,5,8,8,4,0,1,8,Extraversion
Male,28,1,1,4,7,7,4,6,6,7,3,7,4,3,1,2,0,2,4,7,4,5,7,1,2,2,Extraversion
Male,25,8,4,3,7,4,5,5,0,6,7,1,1,5,4,7,6,6,0,7,3,0,2,5,8,5,Extraversion
Male,20,6,3,8,4,4,5,7,8,5,6,6,8,4,7,3,7,5,7,0,2,7,6,0,8,7,Openness
Male,21,8,8,0,5,8,5,1,5,5,0,2,7,8,8,3,0,6,6,0,5,2,0,5,0,2,Neuroticism
Female,23,3,7,5,8,0,5,3,1,4,1,6,8,3,1,4,8,5,6,0,6,1,4,7,6,5,Extraversion
Male,29,0,6,4,1,6,5,0,4,4,4,0,3,6,2,4,3,1,5,0,7,3,0,5,1,7,Conscientinousness
Male,28,4,1,1,7,0,6,2,6,1,2,7,3,4,8,4,1,4,5,6,1,7,5,0,5,4,Extraversion
Male,17,6,8,4,0,7,3,0,1,2,6,0,4,0,0,6,5,7,2,5,3,7,1,1,2,5,Neuroticism
Female,27,8,7,2,7,8,7,1,4,3,2,4,5,3,3,1,0,6,5,3,4,5,2,0,0,2,Extraversion
Male,29,5,2,1,5,0,1,8,4,8,5,5,1,2,4,8,7,4,1,8,4,1,1,0,8,7,Extraversion
Female,22,2,6,1,3,0,1,2,0,6,4,7,5,2,1,1,4,1,0,1,4,6,5,3,5,0,Neuroticism
Male,29,0,0,1,2,6,7,7,1,7,0,0,7,8,5,5,7,3,0,6,1,7,6,5,8,7,Conscientinousness
Female,22,4,1,8,1,7,2,2,1,5,8,5,0,0,1,2,7,6,4,3,7,1,1,1,5,8,Agreeableness
Male,22,7,7,2,0,6,8,3,7,8,2,6,2,6,8,4,4,5,5,5,8,7,6,7,6,5,Neuroticism
Male,23,2,0,1,2,5,7,0,8,0,2,6,4,8,5,4,2,0,0,2,7,5,0,0,1,6,Neuroticism
Female,19,8,5,7,7,3,1,0,0,0,3,7,5,6,4,3,8,2,5,4,6,5,7,1,0,0,Neuroticism
Male,26,4,7,1,0,7,8,6,5,2,8,8,4,2,2,2,3,8,1,8,3,8,6,4,2,7,Conscientinousness
Female,20,6,8,3,8,5,4,2,8,8,6,8,1,1,6,1,7,3,1,2,3,7,3,5,8,1,Openness
Male,20,6,3,2,2,1,3,1,1,6,7,1,1,0,7,1,3,7,3,3,7,4,7,3,6,6,Agreeableness
Female,23,5,5,2,4,0,4,4,8,3,8,1,2,7,2,6,1,8,0,1,0,6,0,6,6,5,Openness
Female,28,5,8,8,2,7,2,3,2,0,4,7,2,4,8,0,4,4,4,7,2,1,4,2,6,7,Conscientinousness
Female,19,5,3,7,6,0,1,5,1,3,0,1,1,2,5,6,2,2,0,5,7,6,3,6,1,8,Agreeableness
