Gender,Age,Talkative,Start Conversations,Interested in People,Make People Feel at Ease,concern for others,Full of Ideas,Always Prepared,Get Irritated Easily,Always Ready to Sleep,Frequent Mood Swings,Seek Adventure,Like to Be in Charge,Make a Mess of Things,Leave Belongings Around,Forget to Put Things Back,Follow a Schedule,Overcome Failure,Leave Today's Work for Next Day,Difficulty Understanding Abstract Ideas,Regret After Making Decisions,Prefer Daydreaming to Reality,Like to Express Immediate Mental/Emotional Situations,Prefer to Build New Relationships Rather Than Compromise,Think No Rules in Society Would Be Better,Don't Think This Test Can Determine Personality,Personality Type
M,23,0,3,1,7,7,0,2,3,7,8,1,0,2,1,8,3,3,3,5,5,3,8,7,3,6,Conscientiousness
M,22,0,6,2,5,3,7,4,3,6,1,2,0,4,1,8,5,3,7,7,1,6,2,6,3,6,Openness
M,27,1,2,0,7,7,3,0,0,6,2,4,1,1,1,4,0,4,7,5,7,3,5,6,0,1,Agreeableness
F,29,8,7,3,0,4,0,1,2,8,7,1,4,4,2,4,0,8,0,0,6,7,6,6,6,6,Extraversion
M,20,8,5,3,7,6,8,6,7,3,6,7,3,3,7,7,1,7,5,1,4,2,6,7,8,0,Conscientiousness
M,20,4,2,2,1,1,0,8,1,3,4,3,5,0,0,1,5,7,6,6,5,6,3,4,5,0,Openness
F,29,2,7,2,1,2,8,5,0,5,4,2,3,1,0,0,7,6,4,7,2,7,5,5,4,0,Openness
M,28,3,6,6,7,5,4,4,6,8,0,5,4,2,3,1,7,0,3,3,5,6,6,8,6,2,Conscientiousness
F,25,0,5,5,1,4,7,1,2,7,1,5,2,7,2,1,0,4,4,2,3,5,6,7,3,4,Openness
M,21,0,2,2,5,0,4,6,0,7,2,5,3,6,1,3,2,4,6,5,7,3,3,8,0,6,Conscientiousness
M,20,8,1,6,7,2,7,4,8,4,6,7,6,3,2,7,3,5,7,1,8,0,2,5,7,0,Openness
F,27,6,5,8,7,4,8,4,8,1,8,5,3,0,7,4,2,8,7,7,1,0,0,7,2,4,Extraversion
F,17,0,1,5,5,6,8,1,2,1,5,4,6,4,6,7,5,3,6,4,4,8,4,0,2,8,Extraversion
F,29,4,6,8,1,8,1,3,3,7,7,0,5,3,1,2,2,4,3,6,2,8,5,6,8,5,Extraversion
F,19,3,8,6,4,5,4,8,3,6,4,7,7,1,2,5,3,7,2,5,1,5,1,7,5,6,Conscientiousness
M,29,1,0,6,5,8,1,8,1,1,5,0,8,7,5,4,1,8,3,0,1,7,1,7,6,0,Extraversion
F,21,7,1,7,3,1,2,3,7,6,0,7,5,8,5,0,0,3,7,1,0,4,3,5,2,3,Agreeableness
M,29,5,3,1,0,7,2,2,3,7,3,8,6,8,0,7,2,0,8,1,3,5,3,6,7,2,Extraversion
M,25,8,3,6,2,7,0,0,6,8,2,4,1,0,2,8,1,0,1,3,3,8,5,2,8,7,Neuroticism
F,28,7,8,8,8,7,5,4,0,0,4,0,2,7,5,3,8,6,2,0,3,4,0,5,8,0,Openness
